b1,1CC rate,2CC rate,Game 1 rate,C rate,SPE rate,strat,strat_space,transition
2.680000000000001,0.92514856255809,0.02156000171718153,0.9588523866538488,0.9569543082841214,0.978786,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.8200000000000016,0.9396641086844592,0.020207085291387216,0.9666593377613504,0.9698609913885806,0.9990100000000001,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.9600000000000017,0.9403817642155926,0.02010391014263506,0.9644567964271747,0.9703981595725965,0.99976,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
3.100000000000002,0.9393948731505416,0.01917472755439369,0.9645843249838022,0.9685646803165427,0.997624,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.0,0.004766292759678075,0.016230783496346112,0.4363736951910536,0.06863551405553345,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.14,0.009116148813005657,0.01284633955498384,0.4560083208214889,0.05980580656743451,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.2800000000000002,0.013514947863041415,0.010825082048947065,0.5081195533042085,0.06041237051138534,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.4200000000000004,0.01718189437715845,0.011315028974823806,0.508932292301886,0.06528140055134674,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.5600000000000005,0.024172383680027304,0.012381419551994096,0.5509150527566044,0.07312987363153893,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.7000000000000006,0.06315710022830641,0.013298990603805598,0.5840811406244216,0.1127882196321562,0.045814,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.8400000000000007,0.3350245746485355,0.02112776350416672,0.7037958476289737,0.3848108709529321,0.330676,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.9800000000000009,0.5098382840021944,0.025276415463225156,0.7943900734683904,0.5569966498658359,0.51361,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.120000000000001,0.5067900093942078,0.02444055062281018,0.8003900437582013,0.5534697792174338,0.535334,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.2600000000000007,0.5754751233882259,0.0235316748919823,0.8356011595386064,0.6190793550838635,0.6047600000000001,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.400000000000001,0.7441235607910286,0.02312830233566389,0.9028514133807698,0.7828182231358826,0.782622,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.5400000000000014,0.9051074748259328,0.021191553392850948,0.9573932702276988,0.9368511398276558,0.951844,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.680000000000001,0.92514856255809,0.02156000171718153,0.9588523866538488,0.9569543082841214,0.978786,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.8200000000000016,0.9396641086844592,0.020207085291387216,0.9666593377613504,0.9698609913885806,0.9990100000000001,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.9600000000000017,0.9403817642155926,0.02010391014263506,0.9644567964271747,0.9703981595725965,0.99976,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
3.100000000000002,0.9393948731505416,0.01917472755439369,0.9645843249838022,0.9685646803165427,0.997624,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.0,0.004766292759678075,0.016230783496346112,0.4363736951910536,0.06863551405553345,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.14,0.009116148813005657,0.01284633955498384,0.4560083208214889,0.05980580656743451,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.2800000000000002,0.013514947863041415,0.010825082048947065,0.5081195533042085,0.06041237051138534,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.4200000000000004,0.01718189437715845,0.011315028974823806,0.508932292301886,0.06528140055134674,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.5600000000000005,0.024172383680027304,0.012381419551994096,0.5509150527566044,0.07312987363153893,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.7000000000000006,0.06315710022830641,0.013298990603805598,0.5840811406244216,0.1127882196321562,0.045814,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.8400000000000007,0.3350245746485355,0.02112776350416672,0.7037958476289737,0.3848108709529321,0.330676,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.9800000000000009,0.5098382840021944,0.025276415463225156,0.7943900734683904,0.5569966498658359,0.51361,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.120000000000001,0.5067900093942078,0.02444055062281018,0.8003900437582013,0.5534697792174338,0.535334,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.2600000000000007,0.5754751233882259,0.0235316748919823,0.8356011595386064,0.6190793550838635,0.6047600000000001,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.400000000000001,0.7441235607910286,0.02312830233566389,0.9028514133807698,0.7828182231358826,0.782622,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.5400000000000014,0.9051074748259328,0.021191553392850948,0.9573932702276988,0.9368511398276558,0.951844,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.680000000000001,0.92514856255809,0.02156000171718153,0.9588523866538488,0.9569543082841214,0.978786,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.8200000000000016,0.9396641086844592,0.020207085291387216,0.9666593377613504,0.9698609913885806,0.9990100000000001,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.9600000000000017,0.9403817642155926,0.02010391014263506,0.9644567964271747,0.9703981595725965,0.99976,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
3.100000000000002,0.9393948731505416,0.01917472755439369,0.9645843249838022,0.9685646803165427,0.997624,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.0,0.004766292759678075,0.016230783496346112,0.4363736951910536,0.06863551405553345,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.14,0.009116148813005657,0.01284633955498384,0.4560083208214889,0.05980580656743451,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.2800000000000002,0.013514947863041415,0.010825082048947065,0.5081195533042085,0.06041237051138534,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.4200000000000004,0.01718189437715845,0.011315028974823806,0.508932292301886,0.06528140055134674,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.5600000000000005,0.024172383680027304,0.012381419551994096,0.5509150527566044,0.07312987363153893,0.0,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.7000000000000006,0.06315710022830641,0.013298990603805598,0.5840811406244216,0.1127882196321562,0.045814,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.8400000000000007,0.3350245746485355,0.02112776350416672,0.7037958476289737,0.3848108709529321,0.330676,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.9800000000000009,0.5098382840021944,0.025276415463225156,0.7943900734683904,0.5569966498658359,0.51361,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.120000000000001,0.5067900093942078,0.02444055062281018,0.8003900437582013,0.5534697792174338,0.535334,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.2600000000000007,0.5754751233882259,0.0235316748919823,0.8356011595386064,0.6190793550838635,0.6047600000000001,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
