b1,1CC rate,2CC rate,Game 1 rate,C rate,SPE rate,strat,strat_space,transition
1.5600000000000005,0.07461958792526488,0.03325114645738411,0.4516778291285955,0.1500264166974467,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7000000000000006,0.1606650688243575,0.03133507284194533,0.4957417855018239,0.2314875512641654,0.01831,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.8400000000000007,0.6368139793940736,0.01633403406245296,0.7881017663206552,0.6700759340864751,0.16836199999999998,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.9800000000000009,0.7452253959221455,0.014237005084507209,0.8461870927739435,0.7719914631337879,0.22803400000000001,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.120000000000001,0.835530551775573,0.00989115273472777,0.91004956875795,0.8541630980122391,0.160128,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.2600000000000007,0.8642150269694743,0.00835960053487661,0.9236562634951628,0.8796627049705715,0.298306,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.400000000000001,0.9372422777765808,0.005282330209178562,0.9667281579938212,0.9466441115495372,0.37425,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.5400000000000014,0.9674423687488066,0.0028322194948178898,0.9795337215167568,0.9731358913136416,0.325418,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.680000000000001,0.9661623302777818,0.0034501912719091593,0.9789202447452754,0.9718677034474608,0.40319,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.8200000000000016,0.982102704500942,0.0027586922089004725,0.9891141731861204,0.9868448858309896,0.326878,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.9600000000000017,0.9714727383412562,0.0031657745702425503,0.9817877052680084,0.9769399814247378,0.5171100000000001,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
3.100000000000002,0.9843169292298322,0.0019884807084385057,0.9918210527459744,0.9879041917240474,0.47576999999999997,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.0,0.02167108399085995,0.030628661190854892,0.3520277754926439,0.09389424755117458,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.14,0.030751913291614988,0.03382850357089449,0.3913281304840995,0.10576971255814534,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.2800000000000002,0.03995640940990575,0.03267546550070548,0.3991590979165172,0.1142177128344298,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.4200000000000004,0.059161763393171876,0.036678265224288915,0.42214021382484174,0.1383866968476307,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.5600000000000005,0.07461958792526488,0.03325114645738411,0.4516778291285955,0.1500264166974467,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7000000000000006,0.1606650688243575,0.03133507284194533,0.4957417855018239,0.2314875512641654,0.01831,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.8400000000000007,0.6368139793940736,0.01633403406245296,0.7881017663206552,0.6700759340864751,0.16836199999999998,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.9800000000000009,0.7452253959221455,0.014237005084507209,0.8461870927739435,0.7719914631337879,0.22803400000000001,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.120000000000001,0.835530551775573,0.00989115273472777,0.91004956875795,0.8541630980122391,0.160128,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.2600000000000007,0.8642150269694743,0.00835960053487661,0.9236562634951628,0.8796627049705715,0.298306,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.400000000000001,0.9372422777765808,0.005282330209178562,0.9667281579938212,0.9466441115495372,0.37425,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.5400000000000014,0.9674423687488066,0.0028322194948178898,0.9795337215167568,0.9731358913136416,0.325418,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.680000000000001,0.9661623302777818,0.0034501912719091593,0.9789202447452754,0.9718677034474608,0.40319,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.8200000000000016,0.982102704500942,0.0027586922089004725,0.9891141731861204,0.9868448858309896,0.326878,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.9600000000000017,0.9714727383412562,0.0031657745702425503,0.9817877052680084,0.9769399814247378,0.5171100000000001,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
3.100000000000002,0.9843169292298322,0.0019884807084385057,0.9918210527459744,0.9879041917240474,0.47576999999999997,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.0,0.02167108399085995,0.030628661190854892,0.3520277754926439,0.09389424755117458,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.14,0.030751913291614988,0.03382850357089449,0.3913281304840995,0.10576971255814534,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.2800000000000002,0.03995640940990575,0.03267546550070548,0.3991590979165172,0.1142177128344298,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.4200000000000004,0.059161763393171876,0.036678265224288915,0.42214021382484174,0.1383866968476307,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.5600000000000005,0.07461958792526488,0.03325114645738411,0.4516778291285955,0.1500264166974467,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7000000000000006,0.1606650688243575,0.03133507284194533,0.4957417855018239,0.2314875512641654,0.01831,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.8400000000000007,0.6368139793940736,0.01633403406245296,0.7881017663206552,0.6700759340864751,0.16836199999999998,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.9800000000000009,0.7452253959221455,0.014237005084507209,0.8461870927739435,0.7719914631337879,0.22803400000000001,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.120000000000001,0.835530551775573,0.00989115273472777,0.91004956875795,0.8541630980122391,0.160128,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.2600000000000007,0.8642150269694743,0.00835960053487661,0.9236562634951628,0.8796627049705715,0.298306,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.400000000000001,0.9372422777765808,0.005282330209178562,0.9667281579938212,0.9466441115495372,0.37425,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.5400000000000014,0.9674423687488066,0.0028322194948178898,0.9795337215167568,0.9731358913136416,0.325418,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.680000000000001,0.9661623302777818,0.0034501912719091593,0.9789202447452754,0.9718677034474608,0.40319,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.8200000000000016,0.982102704500942,0.0027586922089004725,0.9891141731861204,0.9868448858309896,0.326878,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.9600000000000017,0.9714727383412562,0.0031657745702425503,0.9817877052680084,0.9769399814247378,0.5171100000000001,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
3.100000000000002,0.9843169292298322,0.0019884807084385057,0.9918210527459744,0.9879041917240474,0.47576999999999997,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.0,0.02167108399085995,0.030628661190854892,0.3520277754926439,0.09389424755117458,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.14,0.030751913291614988,0.03382850357089449,0.3913281304840995,0.10576971255814534,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.2800000000000002,0.03995640940990575,0.03267546550070548,0.3991590979165172,0.1142177128344298,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.4200000000000004,0.059161763393171876,0.036678265224288915,0.42214021382484174,0.1383866968476307,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.5600000000000005,0.07461958792526488,0.03325114645738411,0.4516778291285955,0.1500264166974467,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7000000000000006,0.1606650688243575,0.03133507284194533,0.4957417855018239,0.2314875512641654,0.01831,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.8400000000000007,0.6368139793940736,0.01633403406245296,0.7881017663206552,0.6700759340864751,0.16836199999999998,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.9800000000000009,0.7452253959221455,0.014237005084507209,0.8461870927739435,0.7719914631337879,0.22803400000000001,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.120000000000001,0.835530551775573,0.00989115273472777,0.91004956875795,0.8541630980122391,0.160128,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.2600000000000007,0.8642150269694743,0.00835960053487661,0.9236562634951628,0.8796627049705715,0.298306,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.400000000000001,0.9372422777765808,0.005282330209178562,0.9667281579938212,0.9466441115495372,0.37425,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.5400000000000014,0.9674423687488066,0.0028322194948178898,0.9795337215167568,0.9731358913136416,0.325418,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.680000000000001,0.9661623302777818,0.0034501912719091593,0.9789202447452754,0.9718677034474608,0.40319,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.8200000000000016,0.982102704500942,0.0027586922089004725,0.9891141731861204,0.9868448858309896,0.326878,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.9600000000000017,0.9714727383412562,0.0031657745702425503,0.9817877052680084,0.9769399814247378,0.5171100000000001,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
3.100000000000002,0.9843169292298322,0.0019884807084385057,0.9918210527459744,0.9879041917240474,0.47576999999999997,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
